icd10,exp_mcr_inpatient,exp_mcr_outpatient,exp_total_inpatient,exp_total_outpatient,bene_ip,bene_op
S86892A,7353.0967,195.65344,7770.6221,256.27078,41,1299
S86892D,5812.8862,194.57706,6610.6665,256.57098,14,345
S86892S,,164.35927,,216.98181,2,41
S86899A,,130.38412,,169.52219,4,620
S86899D,,191.04185,,245.75629,3,98
S86901A,1589.864,205.77271,2068.8833,279.40323,15,550
S86901D,,223.56226,,296.57788,6,53
S86901S,,327.63037,,428.40851,1,16
S86902A,4559.6426,202.10449,5022.0015,274.05112,17,499
S86902D,,260.12253,,340.15399,8,44
S86909A,,148.75536,,199.82303,1,42
S86911A,4450.7651,201.57455,5237.7783,271.78329,128,29632
S86911D,8032.0093,180.5553,9026.8789,237.51845,35,2138
S86911S,,194.77945,,254.74821,2,309
S86912A,4349.2949,206.07158,5037.9409,277.06442,107,29505
S86912D,9028.4053,192.75801,10170.57,254.74712,37,2040
S86912S,,154.80623,,205.32558,1,249
S86919A,3350.915,143.25584,3761.8972,188.86224,14,2032
S86919D,,187.7868,,245.7007,4,209
S86919S,,216.16585,,277.55396,1,34
S86921A,8904.6885,352.21048,9638.124,459.379,28,145
S86921D,,270.664,,371.54001,4,38
