icd10,b_mcr,se_mcr,b_total,se_total
Z960,-50.373592,80.589035,-129.37187,83.588631
Z961,276.17407,69.038849,292.48349,71.608536
Z9641,300.26297,111.72276,327.48355,115.88119
Z96611,1121.8047,69.472702,1183.3076,72.05854
Z96612,1013.0012,77.33522,1050.3657,80.213715
Z96641,1212.6257,31.982309,1226.3248,33.172722
Z96642,1284.5206,34.671555,1301.2019,35.962059
Z96643,1370.1563,49.198299,1404.8964,51.029507
Z96649,470.22592,55.559193,469.28198,57.627159
Z96651,792.34113,30.848999,748.80933,31.997229
Z96652,781.62592,32.846184,741.3949,34.068752
Z96653,822.77917,33.251698,822.42206,34.489357
Z96659,190.33562,52.437599,184.68326,54.389378
Z981,4483.5654,32.96241,4599.9561,34.189301
Z982,1156.29,78.44252,1185.4846,81.362221
Z9841,272.08572,105.11015,291.71152,109.02245
Z9842,-124.442,104.65552,-138.40271,108.5509
Z9849,-326.83023,62.572937,-337.64716,64.901962
Z9851,42.541924,78.561188,84.501053,81.485313
Z9861,843.20819,45.907169,816.74115,47.615879
Z9884,594.01038,43.217636,645.99377,44.826237
Z9889,3674.9731,51.967625,3783.2212,53.901909
Z98890,2953.5549,27.159845,3051.1646,28.170759
Z9911,12980.78,52.443718,13747.831,54.395725
Z992,1173.5747,35.064781,1262.2024,36.369926
Z993,268.11777,44.664604,196.2594,46.327065
Z9981,-48.341892,20.882502,-179.70389,21.659769
Z9989,11.288904,95.756973,2.22856,99.321136
_cons,1169.2189,9.4771585,1759.812,9.8299065
